epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1791265904903412,5.890118598937988,0.001,0.1901715099811554,6.961739540100098
1,0.17915146052837372,5.848097801208496,0.001,0.1901715099811554,6.977313995361328
2,0.17915146052837372,5.837881565093994,0.001,0.1901715099811554,6.960171699523926
3,0.17915146052837372,5.8331499099731445,0.001,0.1901715099811554,6.954225540161133
4,0.17915146052837372,5.832388401031494,0.001,0.1901715099811554,6.951365947723389
5,0.17915146052837372,5.830993175506592,0.001,0.1901715099811554,6.96693229675293
6,0.17915146052837372,5.829033374786377,0.001,0.1901715099811554,6.974409103393555
7,0.17915146052837372,5.826345920562744,0.001,0.1901715099811554,6.9866180419921875
8,0.17915146052837372,5.829440116882324,0.0005,0.1901715099811554,6.973766326904297
9,0.17915146052837372,5.825362682342529,0.0005,0.1901715099811554,6.969982147216797
